backend|authentication-service|SERVICE|backend|user-service|SERVICE
backend|user-service|SERVICE|backend|profile-service|SERVICE
backend|user-service|SERVICE|backend|notification-service|SERVICE
backend|order-service|SERVICE|backend|inventory-service|SERVICE
backend|order-service|SERVICE|backend|payment-service|SERVICE
backend|payment-service|SERVICE|external|stripe-api|API
backend|inventory-service|SERVICE|database|products-db|DATABASE
backend|products-db|DATABASE|cache|redis-cache|CACHE
backend|user-service|SERVICE|database|users-db|DATABASE
backend|notification-service|SERVICE|external|sendgrid-api|API
backend|analytics-service|SERVICE|database|analytics-db|DATABASE
backend|order-service|SERVICE|backend|analytics-service|SERVICE
backend|profile-service|SERVICE|backend|analytics-service|SERVICE
frontend|web-app|APPLICATION|backend|api-gateway|SERVICE
frontend|mobile-app|APPLICATION|backend|api-gateway|SERVICE
backend|api-gateway|SERVICE|backend|authentication-service|SERVICE
backend|api-gateway|SERVICE|backend|order-service|SERVICE
backend|api-gateway|SERVICE|backend|user-service|SERVICE
backend|api-gateway|SERVICE|backend|products-service|SERVICE
backend|products-service|SERVICE|backend|inventory-service|SERVICE
backend|products-service|SERVICE|database|products-db|DATABASE
backend|recommendation-service|SERVICE|backend|user-service|SERVICE
backend|recommendation-service|SERVICE|backend|products-service|SERVICE
backend|recommendation-service|SERVICE|ml|recommendation-model|MODEL
ml|recommendation-model|MODEL|database|analytics-db|DATABASE
backend|search-service|SERVICE|search|elasticsearch|SEARCH_ENGINE
backend|products-service|SERVICE|backend|search-service|SERVICE
backend|logging-service|SERVICE|monitoring|elk-stack|MONITORING
backend|authentication-service|SERVICE|backend|logging-service|SERVICE
backend|order-service|SERVICE|backend|logging-service|SERVICE
